2024-07-26 11:15:49|1|211540110|0|Under way using engine|undefined|0|false|8.5775|53.5365|247.2|234|48|0|Not available|false|21052
2024-07-26 11:15:50|3|211630370|5|Moored|4.733|0|false|8.5742|53.5231|248.5|179|49|0|Not available|false|85594
2024-07-26 11:15:50|1|211537690|0|Under way using engine|undefined|0|false|8.5781|53.5366|266.3|230|49|0|Not available|false|82020
2024-07-26 11:15:51|5|211718100|0|DK8884|GREENPORTS 1|79|Cargo - No additional information|56|15|5|6|0|09-16T23:00Z|undefined|9|16|23|0|2|BREMERHAVEN|0
2024-07-26 11:15:53|1|211599340|0|Under way using engine|nan|0.1|true|8.5804|53.5364|291|511|52|0|Not available|true|67488
2024-07-26 11:16:01|5|211467050|0|DA2972|MARU|20|Wing in ground (WIG) - all ships of this type|0|0|1|0|0|08-09T20:19Z|undefined|8|9|20|19|2.5|BREMEN|0
2024-07-26 11:16:01|18|211237120|0|true|8.5834|53.5337|360|511|59|true|458755
2024-07-26 11:16:04|1|211599340|0|Under way using engine|nan|0|true|8.5804|53.5364|307.4|511|3|0|Not available|true|32853
2024-07-26 11:16:06|1|211595610|0|Under way using engine|nan|0|true|8.5803|53.5365|27.9|511|5|0|Not available|true|98471
2024-07-26 11:16:07|1|211467050|0|Under way using engine|nan|5.7|false|8.5738|53.5356|272|511|5|1|No special maneuver|true|21056
2024-07-26 11:16:10|1|211540110|0|Under way using engine|undefined|0|false|8.5775|53.5365|227.5|234|9|0|Not available|false|49272
2024-07-26 11:16:10|1|211537690|0|Under way using engine|undefined|0|false|8.578|53.5366|179.1|231|9|0|Not available|false|33109
2024-07-26 11:16:13|3|209275000|1|At anchor|undefined|0|true|8.5524|53.5183|278.7|223|11|0|Not available|false|84938
2024-07-26 11:16:16|1|211399710|0|Under way using engine|undefined|7.8|true|8.571|53.5308|28.8|21|14|0|Not available|false|2245
2024-07-26 11:16:18|5|211233660|9154804|DBLF|WESERLOTSE|50|Pilot Vessel1|16|13|4|4|1|01-01T00:00Z|undefined|1|1|0|0|3||0
2024-07-26 11:16:18|1|211467050|0|Under way using engine|nan|4.7|false|8.5734|53.5356|259.6|511|16|1|No special maneuver|true|66161
2024-07-26 11:16:19|1|211540110|0|Under way using engine|undefined|0|false|8.5775|53.5365|244.6|234|18|0|Not available|false|49272
2024-07-26 11:16:23|1|211599340|0|Under way using engine|nan|0.1|true|8.5804|53.5364|305.9|511|21|0|Not available|true|66328
2024-07-26 11:16:23|24|211300110|B|B|37|Pleasure Craft|DD6026|null|AMC   B|8|133152|6|0|0|3
2024-07-26 11:16:24|1|211399710|0|Under way using engine|fastright|7.7|true|8.5712|53.5311|26.7|23|22|0|Not available|false|21056
2024-07-26 11:16:26|1|211595610|0|Under way using engine|nan|0|true|8.5803|53.5365|17.6|511|25|0|Not available|true|2223
2024-07-26 11:16:27|1|211467050|0|Under way using engine|nan|6.1|false|8.5729|53.5354|252.9|511|25|1|No special maneuver|true|33718
2024-07-26 11:16:29|1|211540110|0|Under way using engine|undefined|0|false|8.5775|53.5365|254.3|233|28|0|Not available|false|99354
2024-07-26 11:16:32|1|211599340|0|Under way using engine|nan|0|true|8.5804|53.5364|302.5|511|31|0|Not available|true|21056
2024-07-26 11:16:34|5|211172030|0|DF4369|LESMONA|55|Law Enforcement|11|5|3|2|1|07-09T21:00Z|undefined|7|9|21|0|1.4|DEBRV|0
2024-07-26 11:16:36|1|211595610|0|Under way using engine|nan|0|false|8.5803|53.5365|9.7|511|34|0|Not available|true|99587
2024-07-26 11:16:37|3|211322590|5|Moored|undefined|0.1|false|8.5768|53.534|29.3|245|39|0|Not available|false|216234
2024-07-26 11:16:37|1|211467050|0|Under way using engine|nan|5.9|false|8.5726|53.5354|250.4|511|36|1|No special maneuver|true|82057
